title,rata2_bintang,std_bintang,jumlah_ulasan,rasio_positif,rasio_netral,rasio_negatif,confidence_avg,skor_rekomendasi
Ekowisata Tritis Gunungkidul,5.0,0.0,7,0.8571428571428571,0.14285714285714285,0.0,0.9060389274067611,0.9285714285714286
Taman Jamu Naturindo,4.9156626506024095,0.47382252716238293,83,0.7349397590361446,0.04819277108433735,0.21686746987951808,0.8861897719385802,0.8590361445783132
Hutan Pinus Mangunan,4.925925925925926,0.26435052857271474,54,0.7222222222222222,0.09259259259259259,0.18518518518518517,0.8942628026080158,0.8537037037037036
Makam Ki Ageng Giring Sukodono ,5.0,0.0,17,0.7058823529411765,0.0,0.29411764705882354,0.936878151631542,0.8529411764705883
Museum Sonobudoyo,4.930232558139535,0.2577696311132336,43,0.6976744186046512,0.046511627906976744,0.2558139534883721,0.908798673332959,0.8418604651162791
Puncak Becici,4.822222222222222,0.44153085390433905,45,0.7111111111111111,0.044444444444444446,0.24444444444444444,0.9094517504776183,0.8377777777777777
Gunung Pinus Pengger,4.771428571428571,0.49024089430991113,35,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.8764257840240334,0.8342857142857143
Museum Anak Bajang,5.0,0.0,6,0.6666666666666666,0.0,0.3333333333333333,0.9823369982175185,0.8333333333333333
Watu Amben,4.809523809523809,0.4546826949399069,42,0.6904761904761905,0.023809523809523808,0.2857142857142857,0.906947233392089,0.8261904761904761
Kampung Emas,4.791666666666667,0.45933964318510384,48,0.6875,0.10416666666666667,0.20833333333333334,0.8827919979296953,0.8229166666666667
Rumah Sandi Negara,4.984615384615385,0.12403473458920844,65,0.6307692307692307,0.07692307692307693,0.2923076923076923,0.9050656003196076,0.8138461538461539
Lembah Kars Mulo,4.625,0.9250779592927457,40,0.7,0.025,0.275,0.9115102818598546,0.8125
Andi Bayou Museum,4.909090909090909,0.30151134457776363,11,0.6363636363636364,0.0,0.36363636363636365,0.9456590606522535,0.8090909090909091
Pantai Mesra,4.814814814814815,0.616566086193771,54,0.6481481481481481,0.05555555555555555,0.2962962962962963,0.9054582854851178,0.8055555555555556
Sendang Beji,4.8,0.4050957468334668,40,0.65,0.075,0.275,0.8866136358368285,0.8049999999999999
Museum Anaia Alisha,4.8933333333333335,0.5829406657798202,75,0.6266666666666667,0.09333333333333334,0.28,0.8869255508017829,0.8026666666666666
Watu Goyang,4.853658536585366,0.5273033097637495,41,0.6341463414634146,0.024390243902439025,0.34146341463414637,0.889044589358922,0.802439024390244
Museum Batik,4.959183673469388,0.19991494790174605,49,0.6122448979591837,0.04081632653061224,0.3469387755102041,0.8898586676560336,0.8020408163265307
Museum Muhammadiyah,4.756756756756757,0.9251247785330667,37,0.6486486486486487,0.13513513513513514,0.21621621621621623,0.8694022788684631,0.8
Goa Tanding,4.775,0.619656646034204,40,0.625,0.05,0.325,0.9191722544251482,0.79
HeHa Sky View,4.744186046511628,0.7268006622574084,43,0.627906976744186,0.11627906976744186,0.2558139534883721,0.8798390946035691,0.7883720930232558
Museum Sandi,5.0,0.0,56,0.5714285714285714,0.07142857142857142,0.35714285714285715,0.8872212749186729,0.7857142857142857
Panorama Setro,4.771929824561403,0.655132043932724,57,0.6140350877192983,0.05263157894736842,0.3333333333333333,0.8992342357767893,0.7842105263157895
Mengger Kemuning,4.793103448275862,0.40861858377396976,58,0.603448275862069,0.06896551724137931,0.3275862068965517,0.9114080699510028,0.7810344827586206
Candi Banyunibo,4.583333333333333,0.9673232581274401,36,0.6388888888888888,0.1111111111111111,0.25,0.8847485902315821,0.7777777777777777
Teras Merapi,4.553191489361702,0.8024015756599974,47,0.6382978723404256,0.10638297872340426,0.2553191489361702,0.8719350784647889,0.774468085106383
Jogja Mini Zoo Exotarium,4.671428571428572,0.863451593457506,70,0.6142857142857143,0.04285714285714286,0.34285714285714286,0.904589460080721,0.7742857142857144
Wisata Wayang Wukirsari,5.0,0.0,33,0.5454545454545454,0.21212121212121213,0.24242424242424243,0.8132592739846185,0.7727272727272727
Masjid Gedhe Mataram ,4.886792452830188,0.5771407426832919,53,0.5660377358490566,0.1320754716981132,0.3018867924528302,0.8780552488222496,0.7716981132075471
Embung Nglanggeran,4.6875,0.7761402044870995,48,0.6041666666666666,0.10416666666666667,0.2916666666666667,0.8899701215082715,0.7708333333333333
Grand Puri Waterpark,4.861538461538461,0.6092239704360344,65,0.5692307692307692,0.06153846153846154,0.36923076923076925,0.9182054358955335,0.7707692307692307
Grojogan Watu Purbo,4.666666666666667,0.6302087912488812,48,0.6041666666666666,0.10416666666666667,0.2916666666666667,0.8815512577608627,0.76875
Bejiharjo Edupark,4.394736842105263,1.0277099623503132,38,0.6578947368421053,0.07894736842105263,0.2631578947368421,0.8867589984206248,0.7684210526315789
Selopamioro Adventure Park,4.5,0.8621155625803557,38,0.631578947368421,0.02631578947368421,0.34210526315789475,0.9082229904303883,0.7657894736842106
