dest1,dest2,similarity,jenis1,jenis2
Agro wisata Turi,Obelix Hills,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Agro wisata Turi,Bunga Chrysant,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Pictniq,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Bunga Chrysant,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Obelix Hills,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Waterbyur ,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Embung Tonogoro ,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Waterbom Jogja,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Sadranan Park,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Obelix Sea View,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Kids fun Park,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Balong Waterpark,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Sindu Kusuma Edupark,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Kolam Renang Tirto Tamansari,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Agro wisata Turi,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
He Ha Ocean View,Obelix Sea View,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Chocolate Monggo Museum New Factory Store Kedai & Gelato,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Etalase Taman Batu Geopark Gunung Sewu,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Wana Delima Orchard,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Aloe Land,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Pasar Seni Gabusan ,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
Jogja Agro Park ,Teras Kaca,1.0000000000000002,Taman Rekreasi,Taman Rekreasi
