Destinasi,Rule_Score,Content_Score,Hybrid_Score,Rank_Rule,Rank_Content,Rank_Hybrid,Delta_Rank
Waterbyur ,0.0,1.0,0.4,1,1,1,0
Waterbom Jogja,0.0,1.0,0.4,1,1,1,0
Sadranan Park,0.0,1.0,0.4,1,1,1,0
Obelix Sea View,0.0,1.0,0.4,1,1,1,0
Kids fun Park,0.0,1.0,0.4,1,1,1,0
Balong Waterpark,0.0,1.0,0.4,1,1,1,0
Sindu Kusuma Edupark,0.0,1.0,0.4,1,1,1,0
Kolam Renang Tirto Tamansari,0.0,1.0,0.4,1,1,1,0
He Ha Ocean View,0.0,1.0,0.4,1,1,1,0
Citra Grand Mutiara Waterpark Yogyakarta,0.0,1.0,0.4,1,1,1,0
Chocolate Monggo Museum New Factory Store Kedai & Gelato,0.0,1.0,0.4,1,1,1,0
Etalase Taman Batu Geopark Gunung Sewu,0.0,1.0,0.4,1,1,1,0
Wana Delima Orchard,0.0,1.0,0.4,1,1,1,0
Aloe Land,0.0,1.0,0.4,1,1,1,0
Pasar Seni Gabusan ,0.0,1.0,0.4,1,1,1,0
Teras Kaca,0.0,1.0,0.4,1,1,1,0
Pictniq,0.0,1.0,0.4,1,1,1,0
Agro wisata Turi,0.0,1.0,0.4,1,1,1,0
The World Landmark Merapi Park,0.0,1.0,0.4,1,1,1,0
Agrowisata Bhumi Merapi ,0.0,1.0,0.4,1,1,1,0
Stone Valley,0.0,1.0,0.4,1,1,1,0
Embung Tonogoro ,0.0,1.0,0.4,1,1,1,0
Jogja Agro Park ,0.0,1.0,0.4,1,1,1,0
He Ha Sky View,0.0,1.0,0.4,1,1,1,0
Galaxy Waterpark Jogja,0.0,1.0,0.4,1,1,1,0
Obelix Village,0.0,1.0,0.4,1,1,1,0
Obelix Hills,0.0,1.0,0.4,1,1,1,0
Waduk Sermo ,0.0,1.0,0.4,1,1,1,0
De Mangol View,0.0,1.0,0.4,1,1,1,0
Ledok Sambi Ecopark,0.0,1.0,0.4,1,1,1,0
Gamplong Studio Alam Sleman,0.0,1.0,0.4,1,1,1,0
Wisata Bojong Asri,0.0,1.0,0.4,1,1,1,0
Bendungan Kamijoro,0.0,1.0,0.4,1,1,1,0
Kampung Emas,0.0,1.0,0.4,1,1,1,0
Bunga Chrysant,0.0,1.0,0.4,1,1,1,0
Suraloka Interactive Zoo,0.0,1.0,0.4,1,1,1,0
Embung Nglanggeran,0.0,1.0,0.4,1,1,1,0
Embung Jlamprong,0.0,1.0,0.4,1,1,1,0
Taman Jamu Naturindo,0.0,1.0,0.4,1,1,1,0
Taman Tebing Breksi,0.0,1.0,0.4,1,1,1,0
Ekowisata Nologaten,0.0,1.0,0.4,1,1,1,0
Jogja Mini Zoo Exotarium,0.0,1.0,0.4,1,1,1,0
Embung Batara Sriten,0.0,1.0,0.4,1,1,1,0
Lembah Sorory,0.0,1.0,0.4,1,1,1,0
