Destinasi ,2. Alamat,3. Kalurahan/Kelurahan,4. Kapanewon/Kemantren,4.a.  Kabupaten /kota,5. Status Lahan,6. Koordinat,7. Kontak Pengelola 1,7. Kontak Pengelola 2,8. Situs/website,10.a. Facebook,10.b. Instagram,10.c. Youtube,10.d. Tiktok,11. Kelompok Perizinan berusaha Berbasis Risiko,Jenis Wisata,Rating Maps,Latitude,Longitude,Daya Tarik Utama,Harga Tiket Weekday,Harga Tiket Weekend dan Libur Nasional,Parkir Motor,Parkir Mobil,Jam Buka Weekday,Jam Buka Weekend dan Libur Nasional,Toilet,Tempat Sampah,CCTV,Area Parkir,Area Makanan/kafetaria/Restoran,Ruang Ibadah,Area Istirahat Pengunjung
Embung Nglanggeran,"Nglanggeran Wetan, Nglanggeran, Kec. Patuk",Nglanggeran,Patuk ,Gunungkidul,"Tanah Kasultanan, Sebagian pada lahan parkir dan fasilitas lain SHM","-7.8469698382471025, 110.5467623332984",087838747151,-,Desa Wisata Nglanggeran.id,-,desawisatanglanggeran,desawisatanglanggeran,desawisatanglanggeran,Tidak Ada Keterangan,Taman Rekreasi,4.6,-7.845785995,110.5467331,"Embung/danau buatan di atas bukit , Kebun buah durian ","Rp15,000","Rp15,000","Rp2,000","Rp5,000",08.00-17.00,00.00-23.59,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Grand Puri Waterpark,"Gabusan, Jl. Parangtritis No.KM. 9, Balong",Timbulharjo,Sewon ,Bantul,-,"-7.877607423156831, 110.35291948300323",-,-,-,-,-,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.4,-7.87007217,110.3524795,Taman rekreasi air dengan berbagai wahana seluncuran dan kolam renang,"Rp30,000","Rp40,000","Rp3,000","Rp5,000",09.00-17.00,08.00-17.00,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada
Embung Jlamprong,Mojo,Ngeposari ,Semanu,Gunungkidul,Tanah Kas Desa,"-8.01010118132162, 110.67675400608971",082135410822,-,-,-,-,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.4,-8.009973699,110.6768828,Embung di dataran rendah yang dikelilingi pemandangan,Rp0,Rp0,Rp0,Rp0,00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Tidak Ada,Ada
Taman Jamu Naturindo,Clereng,Sendangsari,Pengasih,Kulon Progo,,,,,,,,,,,Taman Rekreasi,4.6,-7.826493864,110.1520153,Koleksi Tanaman Obat dan Edukasi Pembuatan Jamu,Rp0,Rp0,"Rp3,000","Rp5,000",07.30-15.30,07.30-12.30,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Tidak Ada
Taman Tebing Breksi,"Jl. Desa Lengkong, RT.02/RW.17, Gn. Sari",Sambirejo ,Prambanan ,Sleman,Tanah Kasultanan ,"-7.78340, 110.50420",081353393327 (Dwi),081353393327,www tebingbreksi.com,Tebing breksi,@tebingbreksi.yogyakarta,Tebing breksi,@tebingbreksi_official,Rendah,Taman Rekreasi,4.5,-7.781103743,110.5045843,Tebing bekas tambang batu kapur yang diukir menjadi karya seni.,"Rp10,000","Rp15,000","Rp2,000","Rp5,000",06.00-20.00,06.00-20.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Ekowisata Nologaten,"Jl. Temulawak, RW.04, Nologaten",Caturtunggal,Depok,Sleman,Tanah Kas Desa,"-7.775067305197361, 110.39863263243264",081904031945,-,-,-,@ekowisatanologaten,-,-,Rendah,Taman Rekreasi,4.7,-7.774153276,110.398615,Suasanan area persawahan yang asri dan sejuk dengan kolam Ikan dan Ikan di Irigasi,Rp0,Rp0,"Rp3,000","Rp5,000",09.00-22.00,09.00-22.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Jogja Mini Zoo Exotarium,"Jl. Kabupaten No. 99, Duwet",Sendangadi,Mlati,Sleman,Milik Pemerintah Kalurahan Sendangadi,"7°43'43""S 110°21'30""E",087738394686,-,www.jogjaexotarium.com,-,jogjaexotarium,Mini Zoo Jogja Exotarium Official,jogjaexotarium_ofc,Tidak Ada Keterangan,Taman Rekreasi,4.5,-7.727732472,110.3584692,"Kebun Binatang dimana dapat Berinteraksi langsung dengan berbagai satwa unik seperti reptil, mamalia, dan burung, serta menjadi pusat edukasi konservasi.","Rp25,000","Rp25,000","Rp3,000","Rp5,000",08.00-17.00,08.00-17.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Embung Batara Sriten,Sriten,Pilangrejo,Nglipar,Gunungkidul,Tanah Kasultanan,"-783,209,961,106,330,000",085869769636 pak radata,-,-,-,-,-,-,Menengah Rendah,Taman Rekreasi,4.5,-7.838024558,110.537942,Embung (danau buatan) tertinggi di Gunungkidul yang menawarkan pemandangan panorama perbukitan.,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",05.00-18.00,05.00-18.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Lembah Sorory,Pelemadu RT 03 ,Sriharjo,Imogiri,Bantul,wedi kengser/Tanah Kasultanan,"-7.9459498,110.3656912",087839927970,-,-,-,lembahsorory,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.5,-7.945050528,110.3657413,"kolam renang, bumi perkemahan","Rp6,000","Rp6,000","Rp3,000","Rp5,000",08.00-18.00,06.00-17.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Bejiharjo Edupark,Banyubening 1,Bejiharjo,Karangmojo,Gunungkidul,Tanah khas desa,"-7,93611, 110.63567",085198553123 heri,08818582420 Ari,Www.bundesmajumandiri.id,Desa wisata bejiharjo,Bejiharjosawiji,-,-,Rendah,Taman Rekreasi,4.4,-7.935345202,110.6362378,Wisata edukasi yang berfokus pada kegiatan pertanian dan seni budaya.,"Rp150,000","Rp150,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Ada,Ada,Ada,Ada,Ada
