Destinasi,Rule_Score,Content_Score,Hybrid_Score,Rank_Rule,Rank_Hybrid,Delta_Rank,Movement,Rule_Contribution,Content_Contribution,Rank,Recommendation_Score,Recommendation_Label
Aloe Land,0.423076923076923,1.0,0.6538461538461537,9,1,8,Naik,0.2538461538461538,0.4,1,65.38,Direkomendasikan
Wisata Bojong Asri,0.423076923076923,1.0,0.6538461538461537,9,1,8,Naik,0.2538461538461538,0.4,2,65.38,Direkomendasikan
Pictniq,0.3846153846153847,1.0,0.6307692307692309,25,3,22,Naik,0.2307692307692308,0.4,3,63.08,Direkomendasikan
Ekowisata Nologaten,0.3846153846153847,1.0,0.6307692307692309,25,3,22,Naik,0.2307692307692308,0.4,4,63.08,Direkomendasikan
Chocolate Monggo Museum New Factory Store Kedai & Gelato,0.3846153846153847,1.0,0.6307692307692309,25,3,22,Naik,0.2307692307692308,0.4,5,63.08,Direkomendasikan
Kaliurang Park Botanical Garden ,0.3846153846153847,1.0,0.6307692307692309,25,3,22,Naik,0.2307692307692308,0.4,6,63.08,Direkomendasikan
Ledok Sambi Ecopark,0.3846153846153847,1.0,0.6307692307692309,25,3,22,Naik,0.2307692307692308,0.4,7,63.08,Direkomendasikan
Waterbom Jogja,0.346153846153846,1.0,0.6076923076923076,72,8,64,Naik,0.2076923076923076,0.4,8,60.77,Direkomendasikan
Gembira Loka Zoo,0.346153846153846,1.0,0.6076923076923076,72,8,64,Naik,0.2076923076923076,0.4,9,60.77,Direkomendasikan
Wana Delima Orchard,0.346153846153846,1.0,0.6076923076923076,72,8,64,Naik,0.2076923076923076,0.4,10,60.77,Direkomendasikan
Obelix Hills,0.346153846153846,1.0,0.6076923076923076,72,8,64,Naik,0.2076923076923076,0.4,11,60.77,Direkomendasikan
Embung Nglanggeran,0.346153846153846,1.0,0.6076923076923076,72,8,64,Naik,0.2076923076923076,0.4,12,60.77,Direkomendasikan
Taman Jamu Naturindo,0.346153846153846,1.0,0.6076923076923076,72,8,64,Naik,0.2076923076923076,0.4,13,60.77,Direkomendasikan
Waduk Sermo ,0.346153846153846,1.0,0.6076923076923076,72,8,64,Naik,0.2076923076923076,0.4,14,60.77,Direkomendasikan
HEHA Forest,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,15,58.46,Alternatif
Kids fun Park,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,16,58.46,Alternatif
Sadranan Park,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,17,58.46,Alternatif
Taman Tebing Breksi,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,18,58.46,Alternatif
Jogja Mini Zoo Exotarium,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,19,58.46,Alternatif
Gamplong Studio Alam Sleman,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,20,58.46,Alternatif
He Ha Sky View,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,21,58.46,Alternatif
Embung Batara Sriten,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,22,58.46,Alternatif
Taman Pintar,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,23,58.46,Alternatif
Kampung Emas,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,24,58.46,Alternatif
Agrowisata Bhumi Merapi ,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,25,58.46,Alternatif
Embung Tonogoro ,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,26,58.46,Alternatif
Stone Valley,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,27,58.46,Alternatif
Jogja Agro Park ,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,28,58.46,Alternatif
De Mangol View,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,29,58.46,Alternatif
Obelix Village,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,30,58.46,Alternatif
Suraloka Interactive Zoo,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,31,58.46,Alternatif
Lembah Sorory,0.30769230769230765,1.0,0.5846153846153846,135,15,120,Naik,0.1846153846153846,0.4,32,58.46,Alternatif
Citra Grand Mutiara Waterpark Yogyakarta,0.26923076923076933,1.0,0.5615384615384617,213,33,180,Naik,0.1615384615384616,0.4,33,56.15,Alternatif
Drini Park,0.26923076923076933,1.0,0.5615384615384617,213,33,180,Naik,0.1615384615384616,0.4,34,56.15,Alternatif
Galaxy Waterpark Jogja,0.26923076923076933,1.0,0.5615384615384617,213,33,180,Naik,0.1615384615384616,0.4,35,56.15,Alternatif
Pasar Seni Gabusan ,0.26923076923076933,1.0,0.5615384615384617,213,33,180,Naik,0.1615384615384616,0.4,36,56.15,Alternatif
Telaga Kemuning,0.26923076923076933,1.0,0.5615384615384617,213,33,180,Naik,0.1615384615384616,0.4,37,56.15,Alternatif
Obelix Sea View,0.26923076923076933,1.0,0.5615384615384617,213,33,180,Naik,0.1615384615384616,0.4,38,56.15,Alternatif
Grand Puri Waterpark,0.26923076923076933,1.0,0.5615384615384617,213,33,180,Naik,0.1615384615384616,0.4,39,56.15,Alternatif
Embung Jlamprong,0.26923076923076933,1.0,0.5615384615384617,213,33,180,Naik,0.1615384615384616,0.4,40,56.15,Alternatif
The Manglung View,0.26923076923076933,1.0,0.5615384615384617,213,33,180,Naik,0.1615384615384616,0.4,41,56.15,Alternatif
Bejiharjo Edupark,0.26923076923076933,1.0,0.5615384615384617,213,33,180,Naik,0.1615384615384616,0.4,42,56.15,Alternatif
