title,jumlah_ulasan,rating,jumlah_positif,jumlah_netral,jumlah_negatif,rasio_positif,rasio_netral,rasio_negatif,skor_sentimen,skor_sentimen_norm
 Museum Benteng Vredeburg,48,4.854166667,24,3,21,0.5,0.0625,0.4375,0.0625,0.53125
 Museum Dirgantara,40,4.925,15,4,21,0.375,0.1,0.525,-0.15,0.425
Affandi Museum,34,4.911764706,15,3,16,0.441176471,0.088235294,0.470588235,-0.029411765,0.485294118
Agro Tourism Bhumi Merapi,58,4.517241379,31,4,23,0.534482759,0.068965517,0.396551724,0.137931034,0.568965517
Agrowisata Turi,42,4.238095238,24,7,11,0.571428571,0.166666667,0.261904762,0.30952381,0.654761905
Air Terjun Banyunibo,32,4.46875,12,6,14,0.375,0.1875,0.4375,-0.0625,0.46875
Air Terjun Grojogan Sewu,55,4.309090909,18,4,33,0.327272727,0.072727273,0.6,-0.272727273,0.363636364
Air Terjun Jurug Gede,55,4.454545455,14,5,36,0.254545455,0.090909091,0.654545455,-0.4,0.3
Air Terjun Kedung Pedut,38,4.815789474,16,4,18,0.421052632,0.105263158,0.473684211,-0.052631579,0.473684211
Air Terjun Kembang Soka,44,4.727272727,17,5,22,0.386363636,0.113636364,0.5,-0.113636364,0.443181818
Air Terjun Luweng Sampang,45,3.911111111,12,5,28,0.266666667,0.111111111,0.622222222,-0.355555556,0.322222222
Air Terjun Sidoharjo,46,4.673913043,15,1,30,0.326086957,0.02173913,0.652173913,-0.326086957,0.336956522
Air Terjun Sri Gethuk,58,4.517241379,17,5,36,0.293103448,0.086206897,0.620689655,-0.327586207,0.336206897
Air Terjun Yohnan,4,5,2,1,1,0.5,0.25,0.25,0.25,0.625
"AloeLand,Rasane Vera,Aloe Station's ""Pabrik Olahan Aloevera & Wisata Edukasi Aloevera""",57,4.894736842,30,8,19,0.526315789,0.140350877,0.333333333,0.192982456,0.596491228
Andi Bayou Museum,11,4.909090909,7,0,4,0.636363636,0,0.363636364,0.272727273,0.636363636
Arus Progo Rafting,39,4.461538462,13,9,17,0.333333333,0.230769231,0.435897436,-0.102564103,0.448717949
Ayunan Langit,27,4.481481481,13,6,8,0.481481481,0.222222222,0.296296296,0.185185185,0.592592593
Balong Waterpark,45,4.022222222,14,7,24,0.311111111,0.155555556,0.533333333,-0.222222222,0.388888889
Batu Alien,30,4.5,14,3,13,0.466666667,0.1,0.433333333,0.033333333,0.516666667
Bejiharjo Edupark,38,4.394736842,25,3,10,0.657894737,0.078947368,0.263157895,0.394736842,0.697368421
Bendungan Kamijoro,45,4.444444444,19,4,22,0.422222222,0.088888889,0.488888889,-0.066666667,0.466666667
Blue Lagoon,41,3.731707317,18,2,21,0.43902439,0.048780488,0.512195122,-0.073170732,0.463414634
Budidaya Bunga Krisan,15,3.133333333,3,3,9,0.2,0.2,0.6,-0.4,0.3
Bukit Klangon,50,4.68,24,3,23,0.48,0.06,0.46,0.02,0.51
Bukit Kosakora,49,4.571428571,26,3,20,0.530612245,0.06122449,0.408163265,0.12244898,0.56122449
Bukit Lintang Sewu,50,4.52,22,6,22,0.44,0.12,0.44,0,0.5
Bukit Mintorogo,40,4.475,24,4,12,0.6,0.1,0.3,0.3,0.65
Bukit Mojo Gumelem,49,3.959183673,22,6,21,0.448979592,0.12244898,0.428571429,0.020408163,0.510204082
Bukit Panguk Kediwung,41,4.268292683,19,3,19,0.463414634,0.073170732,0.463414634,0,0.5
Bukit Paralayang Watugupit,44,4.659090909,23,5,16,0.522727273,0.113636364,0.363636364,0.159090909,0.579545455
Bukit Turgo,61,4.786885246,23,7,31,0.37704918,0.114754098,0.508196721,-0.131147541,0.43442623
Bukit Wisata Pulepayung,48,4.708333333,23,7,18,0.479166667,0.145833333,0.375,0.104166667,0.552083333
Bukit teletubbies,59,4.050847458,22,11,26,0.372881356,0.186440678,0.440677966,-0.06779661,0.466101695
Bunker Kaliadem Merapi,39,4.820512821,16,5,18,0.41025641,0.128205128,0.461538462,-0.051282051,0.474358974
Candi Banyunibo,36,4.583333333,23,4,9,0.638888889,0.111111111,0.25,0.388888889,0.694444444
Candi Barong,62,4.790322581,30,5,27,0.483870968,0.080645161,0.435483871,0.048387097,0.524193548
Candi Gebang,31,4.838709677,12,3,16,0.387096774,0.096774194,0.516129032,-0.129032258,0.435483871
Candi Ijo ,40,4.875,19,3,18,0.475,0.075,0.45,0.025,0.5125
Candi Kalasan,43,4.604651163,18,10,15,0.418604651,0.23255814,0.348837209,0.069767442,0.534883721
Candi Kedulan,44,4.772727273,10,5,29,0.227272727,0.113636364,0.659090909,-0.431818182,0.284090909
Candi Prambanan,32,4.75,10,5,17,0.3125,0.15625,0.53125,-0.21875,0.390625
Candi Sambisari,41,4.682926829,16,8,17,0.390243902,0.195121951,0.414634146,-0.024390244,0.487804878
Candi Sari,44,4.75,20,4,20,0.454545455,0.090909091,0.454545455,0,0.5
Chocolate Monggo Museum New Factory Store Kedai & Gelato,61,4.901639344,26,3,32,0.426229508,0.049180328,0.524590164,-0.098360656,0.450819672
Citra Grand Mutiara Waterpark Yogyakarta,61,4.213114754,20,5,36,0.327868852,0.081967213,0.590163934,-0.262295082,0.368852459
De MANGOL VIEW,50,4.52,28,4,18,0.56,0.08,0.36,0.2,0.6
Diorama Arsip Jogja,48,4.916666667,18,4,26,0.375,0.083333333,0.541666667,-0.166666667,0.416666667
Drini Park,41,4.463414634,12,4,25,0.292682927,0.097560976,0.609756098,-0.317073171,0.341463415
EMBUNG TONOGORO (ꦲꦼꦩ꧀ꦧꦸꦁꦠꦤꦒꦫ) - DESA BANJAROYO - KALIBAWANG,42,4.547619048,24,1,17,0.571428571,0.023809524,0.404761905,0.166666667,0.583333333
Ekowisata Nologaten,43,4.604651163,23,6,14,0.534883721,0.139534884,0.325581395,0.209302326,0.604651163
Ekowisata Tritis Gunungkidul,7,5,6,1,0,0.857142857,0.142857143,0,0.857142857,0.928571429
Eks. Pengepul Nila Bulurejo,22,4.863636364,6,5,11,0.272727273,0.227272727,0.5,-0.227272727,0.386363636
Embung Batara Sriten,54,4.722222222,20,2,32,0.37037037,0.037037037,0.592592593,-0.222222222,0.388888889
Embung Jlamprong,47,4.468085106,28,5,14,0.595744681,0.106382979,0.29787234,0.29787234,0.64893617
Embung Kleco,46,4.173913043,27,2,17,0.586956522,0.043478261,0.369565217,0.217391304,0.608695652
Embung Nglanggeran,48,4.6875,29,5,14,0.604166667,0.104166667,0.291666667,0.3125,0.65625
Etalase Taman Batu Geopark Gunung Sewu,48,4.125,17,9,22,0.354166667,0.1875,0.458333333,-0.104166667,0.447916667
GLAMPING MENOREH,61,3.967213115,19,4,38,0.31147541,0.06557377,0.62295082,-0.31147541,0.344262295
Galaxy Waterpark,41,4.487804878,15,4,22,0.365853659,0.097560976,0.536585366,-0.170731707,0.414634146
Gamplong Studio Alam,53,4.660377358,23,6,24,0.433962264,0.113207547,0.452830189,-0.018867925,0.490566038
Gardu Pandang Kaliurang,48,4.479166667,25,6,17,0.520833333,0.125,0.354166667,0.166666667,0.583333333
Gedung Agung Yogyakarta,60,4.533333333,30,7,23,0.5,0.116666667,0.383333333,0.116666667,0.558333333
Gembira Loka Zoo,63,4.825396825,24,6,33,0.380952381,0.095238095,0.523809524,-0.142857143,0.428571429
Geoforest Watu Payung Turunan,58,4.362068966,24,6,28,0.413793103,0.103448276,0.482758621,-0.068965517,0.465517241
Goa Braholo Pj,29,4.482758621,13,5,11,0.448275862,0.172413793,0.379310345,0.068965517,0.534482759
Goa Gajah Lemahbang,11,4.272727273,5,0,6,0.454545455,0,0.545454545,-0.090909091,0.454545455
Goa Grengseng (Wisata RELIGI),8,4.25,1,1,6,0.125,0.125,0.75,-0.625,0.1875
Goa Jlamprong ꧋ꦒꦺꦴꦮꦗ꧀ꦭꦩ꧀ꦥꦿꦺꦴꦁ,15,4.133333333,7,2,6,0.466666667,0.133333333,0.4,0.066666667,0.533333333
Goa Kebon,44,4.431818182,23,4,17,0.522727273,0.090909091,0.386363636,0.136363636,0.568181818
Goa Kidang Kencono,24,4.375,7,4,13,0.291666667,0.166666667,0.541666667,-0.25,0.375
Goa Kiskendo,39,4.41025641,15,4,20,0.384615385,0.102564103,0.512820513,-0.128205128,0.435897436
Goa Ngingrong,40,4.6,15,8,17,0.375,0.2,0.425,-0.05,0.475
Goa Payaman,31,3.967741935,11,6,14,0.35483871,0.193548387,0.451612903,-0.096774194,0.451612903
Goa Rancang Kencono,61,4.655737705,21,7,33,0.344262295,0.114754098,0.540983607,-0.196721311,0.401639344
Goa Selarong,42,4.166666667,16,3,23,0.380952381,0.071428571,0.547619048,-0.166666667,0.416666667
Goa Sentono,47,4.489361702,14,4,29,0.29787234,0.085106383,0.617021277,-0.319148936,0.340425532
Goa Sriti,39,4.307692308,15,9,15,0.384615385,0.230769231,0.384615385,0,0.5
Goa Tanding,40,4.775,25,2,13,0.625,0.05,0.325,0.3,0.65
Goa bentar the swargaloka adventure,6,4.333333333,3,1,2,0.5,0.166666667,0.333333333,0.166666667,0.583333333
Grand Puri Waterpark,65,4.861538462,37,4,24,0.569230769,0.061538462,0.369230769,0.2,0.6
Grojogan Watu Purbo,48,4.666666667,29,5,14,0.604166667,0.104166667,0.291666667,0.3125,0.65625
Gua Cerme,46,4.760869565,20,3,23,0.434782609,0.065217391,0.5,-0.065217391,0.467391304
Gua Jepang,48,4.5,21,3,24,0.4375,0.0625,0.5,-0.0625,0.46875
Gua Jomblang ,10,4.9,3,3,4,0.3,0.3,0.4,-0.1,0.45
Gua Maria Sendangsono,34,4.823529412,12,3,19,0.352941176,0.088235294,0.558823529,-0.205882353,0.397058824
Gua Pari,8,4.5,1,3,4,0.125,0.375,0.5,-0.375,0.3125
Gua Permoni,42,4.166666667,11,8,23,0.261904762,0.19047619,0.547619048,-0.285714286,0.357142857
Gua Pindul,46,4.630434783,14,7,25,0.304347826,0.152173913,0.543478261,-0.239130435,0.380434783
Gua Song Gilap Anjani Kenteng,19,4.526315789,6,3,10,0.315789474,0.157894737,0.526315789,-0.210526316,0.394736842
Gua Tapan Seluman,48,4.4375,14,3,31,0.291666667,0.0625,0.645833333,-0.354166667,0.322916667
Gunung Api Purba Nglanggeran,47,4.893617021,16,7,24,0.340425532,0.14893617,0.510638298,-0.170212766,0.414893617
Gunung Gajah,39,4.666666667,23,7,9,0.58974359,0.179487179,0.230769231,0.358974359,0.679487179
Gunung Gamping,35,4.885714286,11,7,17,0.314285714,0.2,0.485714286,-0.171428571,0.414285714
Gunung Ireng,41,4.853658537,15,10,16,0.365853659,0.243902439,0.390243902,-0.024390244,0.487804878
Gunung Kendil,49,4.816326531,16,4,29,0.326530612,0.081632653,0.591836735,-0.265306122,0.367346939
Gunung Pinus Pengger,35,4.771428571,25,5,5,0.714285714,0.142857143,0.142857143,0.571428571,0.785714286
HeHa Forest,51,3.196078431,15,5,31,0.294117647,0.098039216,0.607843137,-0.31372549,0.343137255
HeHa Ocean View,72,4.555555556,42,6,24,0.583333333,0.083333333,0.333333333,0.25,0.625
HeHa Sky View,43,4.744186047,27,5,11,0.627906977,0.11627907,0.255813953,0.372093023,0.686046512
History Of Java Museum (HOJ),33,4.121212121,19,4,10,0.575757576,0.121212121,0.303030303,0.272727273,0.636363636
Hutan Mangrove Kadilangu,50,4.2,20,6,24,0.4,0.12,0.48,-0.08,0.46
Hutan Pendidikan Wanagama,53,4.679245283,28,12,13,0.528301887,0.226415094,0.245283019,0.283018868,0.641509434
Hutan Pinus Asri,40,4.325,19,4,17,0.475,0.1,0.425,0.05,0.525
Hutan Pinus Mangunan,54,4.925925926,39,5,10,0.722222222,0.092592593,0.185185185,0.537037037,0.768518519
Jogja Agro Park (JAP),51,4.784313725,24,7,20,0.470588235,0.137254902,0.392156863,0.078431373,0.539215686
Jogja Mini Zoo Exotarium,70,4.671428571,43,3,24,0.614285714,0.042857143,0.342857143,0.271428571,0.635714286
Kalisuci Cave Tubing,33,4.757575758,10,5,18,0.303030303,0.151515152,0.545454545,-0.242424242,0.378787879
Kaliurang Park Botanical Garden,50,4.52,26,9,15,0.52,0.18,0.3,0.22,0.61
Kampung Emas,48,4.791666667,33,5,10,0.6875,0.104166667,0.208333333,0.479166667,0.739583333
Kampung Jelok,35,4.428571429,20,4,11,0.571428571,0.114285714,0.314285714,0.257142857,0.628571429
Kawasan Gua Cerme,2,5,1,0,1,0.5,0,0.5,0,0.5
Kawasan Hutan Wonosadi,15,4.466666667,5,3,7,0.333333333,0.2,0.466666667,-0.133333333,0.433333333
Kawasan Konservasi Mangrove Baros,51,4.509803922,19,4,28,0.37254902,0.078431373,0.549019608,-0.176470588,0.411764706
Kebun Buah Mangunan,38,4.789473684,18,1,19,0.473684211,0.026315789,0.5,-0.026315789,0.486842105
Kebun Teh Nglinggo,41,4.268292683,21,4,16,0.512195122,0.097560976,0.390243902,0.12195122,0.56097561
Kebun Teh Tritis,38,4.236842105,19,2,17,0.5,0.052631579,0.447368421,0.052631579,0.526315789
Keraton Ratu Boko,40,4.625,21,6,13,0.525,0.15,0.325,0.2,0.6
Kids Fun Park,45,4.311111111,14,2,29,0.311111111,0.044444444,0.644444444,-0.333333333,0.333333333
Kolam Renang Tirto Tamansari,59,3.338983051,17,4,38,0.288135593,0.06779661,0.644067797,-0.355932203,0.322033898
Kraton Jogja,29,4.862068966,9,4,16,0.310344828,0.137931034,0.551724138,-0.24137931,0.379310345
Laguna Pantai Depok,32,4.625,17,2,13,0.53125,0.0625,0.40625,0.125,0.5625
Laguna Pantai Trisik,34,4.058823529,12,3,19,0.352941176,0.088235294,0.558823529,-0.205882353,0.397058824
Lava Bantal,57,4.105263158,24,3,30,0.421052632,0.052631579,0.526315789,-0.105263158,0.447368421
Ledok Sambi Ecopark,61,4.704918033,28,9,24,0.459016393,0.147540984,0.393442623,0.06557377,0.532786885
Lembah Kars Mulo,40,4.625,28,1,11,0.7,0.025,0.275,0.425,0.7125
Lembah Sorory,48,4.6875,26,7,15,0.541666667,0.145833333,0.3125,0.229166667,0.614583333
Mahaloka Paradise,50,4.34,22,3,25,0.44,0.06,0.5,-0.06,0.47
Makam Girigondo,26,4.769230769,13,4,9,0.5,0.153846154,0.346153846,0.153846154,0.576923077
Makam Ki Ageng Giring Sukodono ,17,5,12,0,5,0.705882353,0,0.294117647,0.411764706,0.705882353
Makam Nyi Ageng Serang,6,4.666666667,2,0,4,0.333333333,0,0.666666667,-0.333333333,0.333333333
Makam Raja-Raja Imogiri,39,4.871794872,14,7,18,0.358974359,0.179487179,0.461538462,-0.102564103,0.448717949
Makam Raja-Raja Mataram Kotagede,66,4.818181818,25,6,35,0.378787879,0.090909091,0.53030303,-0.151515152,0.424242424
Mangrove Jembatan Api-Api (MJAA),42,3.285714286,12,3,27,0.285714286,0.071428571,0.642857143,-0.357142857,0.321428571
Mangrove Wanatirta,57,4.438596491,31,10,16,0.543859649,0.175438596,0.280701754,0.263157895,0.631578947
Masjid Gedhe Mataram ,53,4.886792453,30,7,16,0.566037736,0.132075472,0.301886792,0.264150943,0.632075472
Mengger Kemuning,58,4.793103448,35,4,19,0.603448276,0.068965517,0.327586207,0.275862069,0.637931034
Monumen Museum Pangeran Diponegoro,35,4.628571429,16,3,16,0.457142857,0.085714286,0.457142857,0,0.5
Monumen Pahlawan Pancasila ,35,4.714285714,10,7,18,0.285714286,0.2,0.514285714,-0.228571429,0.385714286
Monumen Perjuangan Taruna (Plataran),40,4.65,16,7,17,0.4,0.175,0.425,-0.025,0.4875
Monumen Yogya Kembali,40,4.8,16,5,19,0.4,0.125,0.475,-0.075,0.4625
Museum Anaia Alisha,75,4.893333333,47,7,21,0.626666667,0.093333333,0.28,0.346666667,0.673333333
Museum Anak Bajang,6,5,4,0,2,0.666666667,0,0.333333333,0.333333333,0.666666667
Museum Bahari,44,4.613636364,15,8,21,0.340909091,0.181818182,0.477272727,-0.136363636,0.431818182
Museum Bank Indonesia,40,4.825,20,4,16,0.5,0.1,0.4,0.1,0.55
Museum Bantul Masa Belanda,35,4.428571429,11,5,19,0.314285714,0.142857143,0.542857143,-0.228571429,0.385714286
Museum Batik,49,4.959183673,30,2,17,0.612244898,0.040816327,0.346938776,0.265306122,0.632653061
Museum Biology,47,4.638297872,17,2,28,0.361702128,0.042553191,0.595744681,-0.234042553,0.382978723
Museum Dewantara Kirti Griya,37,4.945945946,11,5,21,0.297297297,0.135135135,0.567567568,-0.27027027,0.364864865
Museum Dr. Yap Prawirohusodo,47,4.893617021,11,5,31,0.234042553,0.106382979,0.659574468,-0.425531915,0.287234043
Museum Gempa Prof Dr Sarwidi,38,4.578947368,17,4,17,0.447368421,0.105263158,0.447368421,0,0.5
Museum Geoteknologi Mineral UPN,35,4.742857143,18,7,10,0.514285714,0.2,0.285714286,0.228571429,0.614285714
Museum Gerabah Kasongan,65,4.938461538,28,5,32,0.430769231,0.076923077,0.492307692,-0.061538462,0.469230769
Museum Gumuk Pasir Parangtritis Geomaritim Science Park,60,4.783333333,33,7,20,0.55,0.116666667,0.333333333,0.216666667,0.608333333
Museum Gunung Api Merapi,49,4.775510204,24,4,21,0.489795918,0.081632653,0.428571429,0.06122449,0.530612245
Museum Jenderal Sudirman,32,4.65625,12,3,17,0.375,0.09375,0.53125,-0.15625,0.421875
Museum Kotagede Intro Living Museum,59,4.949152542,24,8,27,0.406779661,0.13559322,0.457627119,-0.050847458,0.474576271
Museum Laboratorium Sejarah UPY,4,4.5,1,0,3,0.25,0,0.75,-0.5,0.25
Museum Memorial Jendral Besar HM Soeharto,38,4.684210526,21,5,12,0.552631579,0.131578947,0.315789474,0.236842105,0.618421053
Museum Mini Sisa Hartaku,39,4.871794872,11,2,26,0.282051282,0.051282051,0.666666667,-0.384615385,0.307692308
Museum Muhammadiyah,37,4.756756757,24,5,8,0.648648649,0.135135135,0.216216216,0.432432432,0.716216216
Museum Padepokan Sumber Karahayon,5,4.4,2,0,3,0.4,0,0.6,-0.2,0.4
Museum Paleoantropologi,10,4.8,2,0,8,0.2,0,0.8,-0.6,0.2
Museum Pendidikan Indonesia,27,4.444444444,10,3,14,0.37037037,0.111111111,0.518518519,-0.148148148,0.425925926
Museum Pergerakan Wanita Indonesia,19,4.736842105,7,2,10,0.368421053,0.105263158,0.526315789,-0.157894737,0.421052632
Museum Perjuangan,34,4.764705882,16,3,15,0.470588235,0.088235294,0.441176471,0.029411765,0.514705882
Museum Peta,30,4.633333333,9,3,18,0.3,0.1,0.6,-0.3,0.35
Museum Pleret,34,4.852941176,17,4,13,0.5,0.117647059,0.382352941,0.117647059,0.558823529
Museum Purbakala Taman Wisata Prambanan,21,4.80952381,6,7,8,0.285714286,0.333333333,0.380952381,-0.095238095,0.452380952
Museum Rumah Garuda,37,4.675675676,13,8,16,0.351351351,0.216216216,0.432432432,-0.081081081,0.459459459
Museum Sandi,56,5,32,4,20,0.571428571,0.071428571,0.357142857,0.214285714,0.607142857
Museum Serat Holistik Kehidupan Susilawati Susmoni,29,4.862068966,10,3,16,0.344827586,0.103448276,0.551724138,-0.206896552,0.396551724
Museum Sonobudoyo,43,4.930232558,30,2,11,0.697674419,0.046511628,0.255813953,0.441860465,0.720930233
Museum TNI AD Dharma Wiratama,44,4.840909091,21,3,20,0.477272727,0.068181818,0.454545455,0.022727273,0.511363636
Museum Taman Tino Sidin,41,4.902439024,10,4,27,0.243902439,0.097560976,0.658536585,-0.414634146,0.292682927
Museum Tani Jawa Indonesia,35,4.685714286,8,2,25,0.228571429,0.057142857,0.714285714,-0.485714286,0.257142857
Museum Terbuka Vulcano Park Bakalan,35,4.314285714,18,5,12,0.514285714,0.142857143,0.342857143,0.171428571,0.585714286
Museum UGM,45,4.888888889,21,3,21,0.466666667,0.066666667,0.466666667,0,0.5
Museum Ullen Sentalu,48,4.5625,18,8,22,0.375,0.166666667,0.458333333,-0.083333333,0.458333333
Museum Wahanarata,48,4.916666667,18,1,29,0.375,0.020833333,0.604166667,-0.229166667,0.385416667
Museum Wayang Beber Sekartaji,48,4.916666667,24,6,18,0.5,0.125,0.375,0.125,0.5625
Museum Wayang Kekayon,39,4.179487179,13,4,22,0.333333333,0.102564103,0.564102564,-0.230769231,0.384615385
Nawang Jagad,66,4.878787879,27,6,33,0.409090909,0.090909091,0.5,-0.090909091,0.454545455
Ndalem Pujokusuman Pamulangan Beksa Sasminta Mardawa,37,4.918918919,18,4,15,0.486486486,0.108108108,0.405405405,0.081081081,0.540540541
Obelix Hills,48,4.333333333,17,2,29,0.354166667,0.041666667,0.604166667,-0.25,0.375
Obelix Sea View,40,4.4,18,6,16,0.45,0.15,0.4,0.05,0.525
Obelix Village,54,4.277777778,22,4,28,0.407407407,0.074074074,0.518518519,-0.111111111,0.444444444
Omah Salak,42,4.69047619,21,2,19,0.5,0.047619048,0.452380952,0.047619048,0.523809524
Panorama Setro,57,4.771929825,35,3,19,0.614035088,0.052631579,0.333333333,0.280701754,0.640350877
Pantai Banyutibo,56,4.803571429,20,6,30,0.357142857,0.107142857,0.535714286,-0.178571429,0.410714286
Pantai Baron,47,4.021276596,19,4,24,0.404255319,0.085106383,0.510638298,-0.106382979,0.446808511
Pantai Baru,52,4.5,13,7,32,0.25,0.134615385,0.615384615,-0.365384615,0.317307692
Pantai Bekah,59,4.576271186,16,7,36,0.271186441,0.118644068,0.610169492,-0.338983051,0.330508475
Pantai Bidara,64,4.5625,25,8,31,0.390625,0.125,0.484375,-0.09375,0.453125
Pantai Bopeso,12,4.583333333,4,0,8,0.333333333,0,0.666666667,-0.333333333,0.333333333
Pantai Bugel Kulon Progo,51,4.411764706,20,4,27,0.392156863,0.078431373,0.529411765,-0.137254902,0.431372549
Pantai Buron,45,4.622222222,26,4,15,0.577777778,0.088888889,0.333333333,0.244444444,0.622222222
Pantai Congot,56,4.482142857,24,5,27,0.428571429,0.089285714,0.482142857,-0.053571429,0.473214286
Pantai Depok,48,3.833333333,7,8,33,0.145833333,0.166666667,0.6875,-0.541666667,0.229166667
Pantai Drini,44,4.477272727,15,7,22,0.340909091,0.159090909,0.5,-0.159090909,0.420454545
Pantai Gesing,45,4.488888889,24,4,17,0.533333333,0.088888889,0.377777778,0.155555556,0.577777778
Pantai Glagah,48,4.541666667,18,7,23,0.375,0.145833333,0.479166667,-0.104166667,0.447916667
Pantai Greweng,58,4.655172414,19,5,34,0.327586207,0.086206897,0.586206897,-0.25862069,0.370689655
Pantai Grigak,61,4.606557377,21,2,38,0.344262295,0.032786885,0.62295082,-0.278688525,0.360655738
Pantai Gua Cemara,45,4.244444444,20,6,19,0.444444444,0.133333333,0.422222222,0.022222222,0.511111111
Pantai Jogan,59,4.220338983,22,4,33,0.372881356,0.06779661,0.559322034,-0.186440678,0.406779661
Pantai Jungwok,63,4.746031746,33,2,28,0.523809524,0.031746032,0.444444444,0.079365079,0.53968254
Pantai Kayu Arum,54,4.648148148,26,3,25,0.481481481,0.055555556,0.462962963,0.018518519,0.509259259
Pantai Kesirat,55,4.709090909,22,7,26,0.4,0.127272727,0.472727273,-0.072727273,0.463636364
Pantai Krakal,59,4.457627119,21,2,36,0.355932203,0.033898305,0.610169492,-0.254237288,0.372881356
Pantai Krokoh,65,4.215384615,21,2,42,0.323076923,0.030769231,0.646153846,-0.323076923,0.338461538
Pantai Kukup,42,4.714285714,15,4,23,0.357142857,0.095238095,0.547619048,-0.19047619,0.404761905
Pantai Kwaru,43,3.837209302,18,2,23,0.418604651,0.046511628,0.534883721,-0.11627907,0.441860465
Pantai Mbuluk,69,4.739130435,39,3,27,0.565217391,0.043478261,0.391304348,0.173913043,0.586956522
Pantai Mesra,54,4.814814815,35,3,16,0.648148148,0.055555556,0.296296296,0.351851852,0.675925926
Pantai Midodaren,55,4.290909091,16,3,36,0.290909091,0.054545455,0.654545455,-0.363636364,0.318181818
Pantai Mlarangan Asri,55,4.618181818,24,6,25,0.436363636,0.109090909,0.454545455,-0.018181818,0.490909091
Pantai Nampu,51,4.68627451,24,3,24,0.470588235,0.058823529,0.470588235,0,0.5
Pantai Ngandong,45,4.688888889,19,6,20,0.422222222,0.133333333,0.444444444,-0.022222222,0.488888889
Pantai Ngedan,61,4.573770492,20,6,35,0.327868852,0.098360656,0.573770492,-0.245901639,0.37704918
Pantai Ngetun,67,4.447761194,26,5,36,0.388059701,0.074626866,0.537313433,-0.149253731,0.425373134
Pantai Nglambor,63,4.666666667,29,7,27,0.46031746,0.111111111,0.428571429,0.031746032,0.515873016
Pantai Nglolang,55,4.636363636,17,8,30,0.309090909,0.145454545,0.545454545,-0.236363636,0.381818182
Pantai Ngobaran,45,4.377777778,22,5,18,0.488888889,0.111111111,0.4,0.088888889,0.544444444
Pantai Ngrenehan,62,4.403225806,13,1,48,0.209677419,0.016129032,0.774193548,-0.564516129,0.217741935
Pantai Ngunggah,60,4.766666667,8,2,50,0.133333333,0.033333333,0.833333333,-0.7,0.15
Pantai Nguyahan,49,4.632653061,18,5,26,0.367346939,0.102040816,0.530612245,-0.163265306,0.418367347
Pantai Pandansari,63,3.698412698,19,5,39,0.301587302,0.079365079,0.619047619,-0.317460317,0.341269841
Pantai Pandansimo,32,4.1875,10,1,21,0.3125,0.03125,0.65625,-0.34375,0.328125
Pantai Parangendog,38,4.631578947,16,5,17,0.421052632,0.131578947,0.447368421,-0.026315789,0.486842105
Pantai Parangkusumo,51,4.450980392,19,8,24,0.37254902,0.156862745,0.470588235,-0.098039216,0.450980392
Pantai Parangtritis,49,4.102040816,19,4,26,0.387755102,0.081632653,0.530612245,-0.142857143,0.428571429
Pantai Porok,49,4.87755102,12,5,32,0.244897959,0.102040816,0.653061224,-0.408163265,0.295918367
Pantai Pringjono,69,4.391304348,20,5,44,0.289855072,0.072463768,0.637681159,-0.347826087,0.326086957
Pantai Pulang Sawal Indrayanti,43,4.534883721,15,6,22,0.348837209,0.139534884,0.511627907,-0.162790698,0.418604651
Pantai Sadeng,46,4.47826087,17,5,24,0.369565217,0.108695652,0.52173913,-0.152173913,0.423913043
Pantai Sadranan,50,4.74,26,3,21,0.52,0.06,0.42,0.1,0.55
Pantai Samas,45,4.111111111,16,6,23,0.355555556,0.133333333,0.511111111,-0.155555556,0.422222222
